id;street_address;postal_code;city;state_province;congregant_id
1;Secured Program;the program Ghana;West Hopefort;Soft Colombia;1
2;installation International generating;Chief;Lake Jovanburgh;Gold harness;2
3;neural;e-commerce Reverse-engineered Directives;South Douglasfort;Outdoors;1
4;pink;SCSI;East Connermouth;Fuerte Sports;1
5;17(E.U.A.-17) Frozen Venezuela;analyzer;St. Louis;extend help-desk Cambridgeshire;2
6;Exclusive cutting-edge;compelling Beauty;Easterton;Principal mobile;1
7;infomediaries Guadeloupe Licensed;Missouri JBOD;Roelchester;Jewelery Bacon;2
8;Licensed Forward;connect Toys Assurance;East Colemanland;blockchains;1
9;Refined Nicaragua synthesize;digital withdrawal;McGlynnbury;IB;1
10;Parks;utilisation Gardens;Warner Robins;Bhutanese extensible;1
